               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10739,            0.088102,             0.05211,             0.87157,            0.054781,            0.031293,           0.0080669,             0.08039,            0.065117,            0.043311,              0.0829,              0.0019,              0.0019
                   1,            0.085183,            0.090511,            0.038468,             0.55079,             0.19526,            0.045153,            0.013138,            0.081516,            0.069631,            0.032008,            0.064882,           0.0038825,           0.0038825
                   2,             0.07885,            0.076263,            0.030883,             0.61449,             0.29791,             0.11722,            0.040828,            0.071578,            0.045369,            0.025443,            0.046847,           0.0058469,           0.0058469
                   3,            0.077703,            0.068929,            0.026913,             0.79538,             0.14904,             0.10713,            0.031557,            0.082767,            0.038574,            0.020927,            0.028793,           0.0077933,           0.0077933
                   4,            0.081626,            0.064766,            0.023258,              0.6383,             0.32495,             0.17192,            0.050212,            0.070219,            0.037287,            0.017844,            0.010722,           0.0097218,           0.0097218
                   5,            0.071765,            0.063745,             0.02128,             0.65656,             0.37682,             0.23802,            0.079646,            0.068634,            0.035878,             0.01514,            0.009775,            0.009775,            0.009775
                   6,            0.065133,            0.060599,            0.018744,               0.676,             0.34596,              0.2474,            0.091147,            0.061395,             0.03548,            0.013452,            0.009775,            0.009775,            0.009775
                   7,            0.060367,             0.05932,            0.016551,             0.72617,             0.41427,             0.31656,             0.14315,            0.049874,            0.034154,            0.011644,             0.00973,             0.00973,             0.00973
                   8,             0.05574,            0.056177,            0.014486,             0.70598,              0.3497,             0.32278,             0.11638,            0.052797,            0.035329,            0.010189,            0.009685,            0.009685,            0.009685
                   9,            0.051781,            0.055489,            0.013648,              0.6692,               0.521,             0.47042,             0.21361,            0.043693,             0.03301,           0.0096313,             0.00964,             0.00964,             0.00964
                  10,            0.049098,             0.05298,            0.012791,             0.64133,             0.51024,             0.38893,              0.1561,            0.044333,            0.033218,           0.0088203,            0.009595,            0.009595,            0.009595
                  11,            0.048169,            0.055141,            0.011086,             0.66534,             0.53531,             0.44935,             0.20881,            0.044223,            0.032887,           0.0080467,             0.00955,             0.00955,             0.00955
                  12,            0.045912,            0.051622,            0.010696,             0.69838,             0.51533,             0.45364,             0.20708,            0.040857,            0.031764,           0.0078999,            0.009505,            0.009505,            0.009505
